FileName,Alpha,CharRuleCount,MCBRuleCount,CharConditionCount,MCBConditionCount
"hepatitis-35","1","44","44","225","225"
"hepatitis-35","0.9","44","44","225","225"
"hepatitis-35","0.8","44","44","225","225"
"hepatitis-35","0.7","44","44","225","225"
"hepatitis-35","0.6","44","44","225","225"
"hepatitis-35","0.5","44","44","225","225"
"hepatitis-35","0.4","44","44","225","225"
"hepatitis-35","0.3","44","44","225","225"
"hepatitis-35","0.2","44","44","225","225"
"hepatitis-35","0.1","44","44","225","225"
"hepatitis-35","0.01","44","44","225","225"
