FileName,Alpha,CharRuleCount,MCBRuleCount,CharConditionCount,MCBConditionCount
"lymphography-35","1","57","55","251","244"
"lymphography-35","0.9","57","55","251","244"
"lymphography-35","0.8","57","55","251","244"
"lymphography-35","0.7","57","55","251","244"
"lymphography-35","0.6","57","55","251","244"
"lymphography-35","0.5","58","55","259","244"
"lymphography-35","0.4","58","55","259","244"
"lymphography-35","0.3","58","55","259","244"
"lymphography-35","0.2","58","55","259","244"
"lymphography-35","0.1","58","55","259","244"
"lymphography-35","0","58","20","259","20"
"breast-35","1","144","74","572","338"
"breast-35","0.9","141","74","558","338"
"breast-35","0.8","143","74","574","338"
"breast-35","0.7","144","74","572","338"
"breast-35","0.6","146","74","559","338"
"breast-35","0.5","140","74","528","338"
"breast-35","0.4","140","74","528","338"
"breast-35","0.3","143","74","546","338"
"breast-35","0.2","147","74","554","338"
"breast-35","0.1","146","74","546","338"
"breast-35","0","146","18","546","18"
"bank-35","1","12","12","12","12"
"bank-35","0.9","12","12","12","12"
"bank-35","0.8","12","12","12","12"
"bank-35","0.7","12","12","12","12"
"bank-35","0.6","12","12","12","12"
"bank-35","0.5","12","12","12","12"
"bank-35","0.4","12","12","12","12"
"bank-35","0.3","12","12","12","12"
"bank-35","0.2","12","12","12","12"
"bank-35","0.1","12","12","12","12"
"bank-35","0","12","6","12","6"
