FileName,Alpha,CharRuleCount,MCBRuleCount,CharConditionCount,MCBConditionCount
"hepatitis-35","1","31","31","124","124"
"hepatitis-35","0.9","31","31","124","124"
"hepatitis-35","0.8","31","31","124","124"
"hepatitis-35","0.7","31","31","124","124"
"hepatitis-35","0.6","31","31","124","124"
"hepatitis-35","0.5","31","31","124","124"
"hepatitis-35","0.4","31","31","124","124"
"hepatitis-35","0.3","31","31","124","124"
"hepatitis-35","0.2","31","31","124","124"
"hepatitis-35","0.1","31","31","124","124"
"hepatitis-35","0","31","10","124","10"
