FileName,Alpha,CharRuleCount,MCBRuleCount,CharConditionCount,MCBConditionCount
"lymphography-35","1","37","38","130","137"
"lymphography-35","0.9","37","38","130","137"
"lymphography-35","0.8","37","38","130","137"
"lymphography-35","0.7","37","38","130","137"
"lymphography-35","0.6","37","38","130","137"
"lymphography-35","0.5","43","38","155","137"
"lymphography-35","0.4","43","38","155","137"
"lymphography-35","0.3","43","38","155","137"
"lymphography-35","0.2","43","38","155","137"
"lymphography-35","0.1","43","38","155","137"
"lymphography-35","0","43","38","155","137"
"hepatitis-35","1","31","31","124","124"
"hepatitis-35","0.9","31","31","124","124"
"hepatitis-35","0.8","31","31","124","124"
"hepatitis-35","0.7","31","31","124","124"
"hepatitis-35","0.6","31","31","124","124"
"hepatitis-35","0.5","31","31","124","124"
"hepatitis-35","0.4","31","31","124","124"
"hepatitis-35","0.3","31","31","124","124"
"hepatitis-35","0.2","31","31","124","124"
"hepatitis-35","0.1","31","31","124","124"
"hepatitis-35","0","31","31","124","124"
"breast-35","1","87","77","292","264"
"breast-35","0.9","83","77","277","264"
"breast-35","0.8","84","77","278","264"
"breast-35","0.7","86","77","284","264"
"breast-35","0.6","80","77","256","264"
"breast-35","0.5","83","77","251","264"
"breast-35","0.4","83","77","251","264"
"breast-35","0.3","87","77","263","264"
"breast-35","0.2","91","77","278","264"
"breast-35","0.1","90","77","272","264"
"breast-35","0","90","77","272","264"
"bank-35","1","9","9","9","9"
"bank-35","0.9","9","9","9","9"
"bank-35","0.8","9","9","9","9"
"bank-35","0.7","9","9","9","9"
"bank-35","0.6","9","9","9","9"
"bank-35","0.5","9","9","9","9"
"bank-35","0.4","9","9","9","9"
"bank-35","0.3","9","9","9","9"
"bank-35","0.2","9","9","9","9"
"bank-35","0.1","9","9","9","9"
"bank-35","0","9","9","9","9"
