FileName,Alpha,CharRuleCount,MCBRuleCount,CharConditionCount,MCBConditionCount
"test","1","2","2","3","3"
"test","0.9","2","2","3","3"
"test","0.8","2","2","3","3"
"test","0.7","2","2","3","3"
"test","0.6","2","2","3","3"
"test","0.5","2","1","5","1"
"test","0.4","2","1","5","1"
"test","0.3","2","1","5","1"
"test","0.2","2","1","5","1"
"test","0.1","2","1","5","1"
"test","0","2","2","5","5"
"lymphography-35","1","55","55","244","244"
"lymphography-35","0.9","55","55","244","244"
"lymphography-35","0.8","55","55","244","244"
"lymphography-35","0.7","55","55","244","244"
"lymphography-35","0.6","55","55","244","244"
"lymphography-35","0.5","55","55","244","244"
"lymphography-35","0.4","55","55","244","244"
"lymphography-35","0.3","55","55","244","244"
"lymphography-35","0.2","55","55","244","244"
"lymphography-35","0.1","55","55","244","244"
"lymphography-35","0","29","29","134","134"
"iris-35","1","22","22","596","596"
"iris-35","0.9","16","22","500","596"
"iris-35","0.8","16","22","500","596"
"iris-35","0.7","16","22","500","596"
"iris-35","0.6","16","22","500","596"
"iris-35","0.5","16","22","500","596"
"iris-35","0.4","16","22","500","596"
"iris-35","0.3","17","22","562","596"
"iris-35","0.2","23","22","694","596"
"iris-35","0.1","23","22","694","596"
"iris-35","0","4","4","14","14"
"breast-35","1","74","74","403","403"
"breast-35","0.9","74","74","403","403"
"breast-35","0.8","74","74","403","403"
"breast-35","0.7","74","74","403","403"
"breast-35","0.6","73","74","398","403"
"breast-35","0.5","73","74","398","403"
"breast-35","0.4","73","74","398","403"
"breast-35","0.3","75","74","404","403"
"breast-35","0.2","75","74","404","403"
"breast-35","0.1","75","74","404","403"
"breast-35","0","75","75","404","404"
